param cost :=
[1,1] 8043
[2,1] 7748
[3,1] 9430
[4,1] 8651
[5,1] 7689
[6,1] 7550
[7,1] 6802
[8,1] 7424
[9,1] 9316
[10,1] 7990
[11,1] 6876
[12,1] 9615
[13,1] 8721
[14,1] 7203
[15,1] 9175
[16,1] 10038
[17,1] 10173
[18,1] 6854
[19,1] 7805
[20,1] 7947
[21,1] 8185
[22,1] 7587
[23,1] 9320
[24,1] 7145
[25,1] 8340
[26,1] 8832
[27,1] 7697
[28,1] 6747
[29,1] 7502
[30,1] 8893
[31,1] 7930
[32,1] 8120
[33,1] 9108
[34,1] 8785
[35,1] 9187
[36,1] 8200
[37,1] 9504
[38,1] 10712
[39,1] 7268
[40,1] 8340
[1,2] 7922
[2,2] 7534
[3,2] 8354
[4,2] 8127
[5,2] 8101
[6,2] 8281
[7,2] 8133
[8,2] 9178
[9,2] 8566
[10,2] 6697
[11,2] 6480
[12,2] 6325
[13,2] 7431
[14,2] 8622
[15,2] 8203
[16,2] 7267
[17,2] 7606
[18,2] 9520
[19,2] 7460
[20,2] 7225
[21,2] 7193
[22,2] 8442
[23,2] 7267
[24,2] 7114
[25,2] 9586
[26,2] 8223
[27,2] 8107
[28,2] 9596
[29,2] 8350
[30,2] 6914
[31,2] 6007
[32,2] 8721
[33,2] 7291
[34,2] 6701
[35,2] 6869
[36,2] 6597
[37,2] 7177
[38,2] 7838
[39,2] 8446
[40,2] 7115
[1,3] 8659
[2,3] 7260
[3,3] 9747
[4,3] 7362
[5,3] 7374
[6,3] 7063
[7,3] 6970
[8,3] 8662
[9,3] 6770
[10,3] 8660
[11,3] 8552
[12,3] 8783
[13,3] 8701
[14,3] 8359
[15,3] 7335
[16,3] 8560
[17,3] 8037
[18,3] 6736
[19,3] 8396
[20,3] 5930
[21,3] 7735
[22,3] 8976
[23,3] 5998
[24,3] 7749
[25,3] 9543
[26,3] 8657
[27,3] 9251
[28,3] 10357
[29,3] 8805
[30,3] 7384
[31,3] 6960
[32,3] 6027
[33,3] 8683
[34,3] 6153
[35,3] 9446
[36,3] 8417
[37,3] 6864
[38,3] 7600
[39,3] 6741
[40,3] 9151
[1,4] 6899
[2,4] 8073
[3,4] 10715
[4,4] 7173
[5,4] 7442
[6,4] 8299
[7,4] 8172
[8,4] 8292
[9,4] 8844
[10,4] 7598
[11,4] 8114
[12,4] 9386
[13,4] 6264
[14,4] 7653
[15,4] 8067
[16,4] 8252
[17,4] 6675
[18,4] 9194
[19,4] 8323
[20,4] 9238
[21,4] 8548
[22,4] 8755
[23,4] 8719
[24,4] 7078
[25,4] 7720
[26,4] 8784
[27,4] 9361
[28,4] 8114
[29,4] 8856
[30,4] 7582
[31,4] 9413
[32,4] 8189
[33,4] 5384
[34,4] 8263
[35,4] 7184
[36,4] 9068
[37,4] 7241
[38,4] 6564
[39,4] 6407
[40,4] 7011
[1,5] 6666
[2,5] 8558
[3,5] 9626
[4,5] 7432
[5,5] 5883
[6,5] 8163
[7,5] 6133
[8,5] 6629
[9,5] 8851
[10,5] 8031
[11,5] 7455
[12,5] 7689
[13,5] 8400
[14,5] 9092
[15,5] 9902
[16,5] 7059
[17,5] 7140
[18,5] 7560
[19,5] 8075
[20,5] 9247
[21,5] 6588
[22,5] 7695
[23,5] 8123
[24,5] 6001
[25,5] 9634
[26,5] 8125
[27,5] 9081
[28,5] 7210
[29,5] 7808
[30,5] 6852
[31,5] 6815
[32,5] 9490
[33,5] 6333
[34,5] 7123
[35,5] 7030
[36,5] 8552
[37,5] 8330
[38,5] 8515
[39,5] 7355
[40,5] 8786
[1,6] 9116
[2,6] 10393
[3,6] 7665
[4,6] 7495
[5,6] 9951
[6,6] 9684
[7,6] 8607
[8,6] 8325
[9,6] 9142
[10,6] 7449
[11,6] 8835
[12,6] 8319
[13,6] 7474
[14,6] 7116
[15,6] 10110
[16,6] 8512
[17,6] 7014
[18,6] 7862
[19,6] 7113
[20,6] 9621
[21,6] 7683
[22,6] 10056
[23,6] 8457
[24,6] 7938
[25,6] 5927
[26,6] 8235
[27,6] 7256
[28,6] 7599
[29,6] 9687
[30,6] 7142
