param revenue :=
[1,1] 9192
[2,1] 8599
[3,1] 10436
[4,1] 9665
[5,1] 8589
[6,1] 8606
[7,1] 7628
[8,1] 8412
[9,1] 10305
[10,1] 8954
[11,1] 7916
[12,1] 10545
[13,1] 9752
[14,1] 8257
[15,1] 10152
[16,1] 10992
[17,1] 11032
[18,1] 7788
[19,1] 8951
[20,1] 8904
[21,1] 9287
[22,1] 8403
[23,1] 10254
[24,1] 7938
[25,1] 9534
[26,1] 10001
[27,1] 8711
[28,1] 7735
[29,1] 8482
[30,1] 9665
[31,1] 9249
[32,1] 9169
[33,1] 10186
[34,1] 9515
[35,1] 10227
[36,1] 9078
[37,1] 10522
[38,1] 11472
[39,1] 8167
[40,1] 9403
[1,2] 8940
[2,2] 8405
[3,2] 9339
[4,2] 9025
[5,2] 9275
[6,2] 9281
[7,2] 9152
[8,2] 9910
[9,2] 9652
[10,2] 7839
[11,2] 7314
[12,2] 7343
[13,2] 8234
[14,2] 9599
[15,2] 9286
[16,2] 8360
[17,2] 8501
[18,2] 10359
[19,2] 8377
[20,2] 8126
[21,2] 8261
[22,2] 9440
[23,2] 8465
[24,2] 8019
[25,2] 10444
[26,2] 9231
[27,2] 9232
[28,2] 10676
[29,2] 9142
[30,2] 7839
[31,2] 6948
[32,2] 9791
[33,2] 8191
[34,2] 7675
[35,2] 7812
[36,2] 7615
[37,2] 8383
[38,2] 8869
[39,2] 9449
[40,2] 8174
[1,3] 9778
[2,3] 8314
[3,3] 10744
[4,3] 8452
[5,3] 8056
[6,3] 8197
[7,3] 8120
[8,3] 9817
[9,3] 7773
[10,3] 9511
[11,3] 9570
[12,3] 9807
[13,3] 9571
[14,3] 9470
[15,3] 8252
[16,3] 9576
[17,3] 9070
[18,3] 7659
[19,3] 9246
[20,3] 6866
[21,3] 8750
[22,3] 9937
[23,3] 7179
[24,3] 8776
[25,3] 10407
[26,3] 9740
[27,3] 10212
[28,3] 11363
[29,3] 9748
[30,3] 8254
[31,3] 7787
[32,3] 6994
[33,3] 9658
[34,3] 7279
[35,3] 10635
[36,3] 9593
[37,3] 7800
[38,3] 8539
[39,3] 7656
[40,3] 9976
[1,4] 7936
[2,4] 8992
[3,4] 11696
[4,4] 8240
[5,4] 8333
[6,4] 9342
[7,4] 9069
[8,4] 9260
[9,4] 9914
[10,4] 8570
[11,4] 9103
[12,4] 10373
[13,4] 7439
[14,4] 8698
[15,4] 9114
[16,4] 9227
[17,4] 7587
[18,4] 10276
[19,4] 9357
[20,4] 10242
[21,4] 9571
[22,4] 9777
[23,4] 9759
[24,4] 7890
[25,4] 8806
[26,4] 9544
[27,4] 10504
[28,4] 9281
[29,4] 9836
